"Sample Name","Data File","Acquired","Location","Batch","Job Code","Sample ID","User","TWC_Substance01 Rt(min)","TWC_Substance01 AreaAbs","TWC_Substance02 Rt(min)","TWC_Substance02 AreaAbs","TWC_caffeine Rt(min)","TWC_caffeine AreaAbs","TWC_sulfadoxin Rt(min)","TWC_sulfadoxin AreaAbs","TWC_Substance03 Rt(min)","TWC_Substance03 AreaAbs","TWC_Substance04 Rt(min)","TWC_Substance04 AreaAbs","TWC_Substance05 Rt(min)","TWC_Substance05 AreaAbs","T1-EIC(+)[M+H]_caffeine Rt(min)","T1-EIC(+)[M+H]_caffeine AreaAbs","T3-EIC(+)[M+H]_sulfadoxin Rt(min)","T3-EIC(+)[M+H]_sulfadoxin AreaAbs","TWC_Substance06 Rt(min)","TWC_Substance06 AreaAbs","TWC_Substance07 Rt(min)","TWC_Substance07 AreaAbs","TWC_Substance08 Rt(min)","TWC_Substance08 AreaAbs","T2-EIC(+)[M+H]_Substance06 Rt(min)","T2-EIC(+)[M+H]_Substance06 AreaAbs","TWC_hydrodeamination product  Rt(min)","TWC_hydrodeamination product  AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product  Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product  AreaAbs","T3-EIC(+)[M+H]_Substance02 Rt(min)","T3-EIC(+)[M+H]_Substance02 AreaAbs","T3-EIC(+)[M+H]_Substance03 Rt(min)","T3-EIC(+)[M+H]_Substance03 AreaAbs","T3-EIC(+)[M+H]_caffeine Rt(min)","T3-EIC(+)[M+H]_caffeine AreaAbs","TWC_Substance09 Rt(min)","TWC_Substance09 AreaAbs","T2-EIC(+)[M+H]_Substance08 Rt(min)","T2-EIC(+)[M+H]_Substance08 AreaAbs","T2-EIC(+)[M+H]_Substance07 Rt(min)","T2-EIC(+)[M+H]_Substance07 AreaAbs","T3-EIC(+)[M+H]_Substance06 Rt(min)","T3-EIC(+)[M+H]_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance04 Rt(min)","T3-EIC(+)[M+H]_Substance04 AreaAbs","T1-EIC(+)[M+H]_Substance02 Rt(min)","T1-EIC(+)[M+H]_Substance02 AreaAbs","T2-EIC(+)[M+H]_Substance05 Rt(min)","T2-EIC(+)[M+H]_Substance05 AreaAbs","T2-EIC(+)[M+H]_Substance04 Rt(min)","T2-EIC(+)[M+H]_Substance04 AreaAbs","T3-EIC(+)[M+H]_Substance05 Rt(min)","T3-EIC(+)[M+H]_Substance05 AreaAbs","TWC_Substance10 Rt(min)","TWC_Substance10 AreaAbs","TWC_Substance11 Rt(min)","TWC_Substance11 AreaAbs"
"O2","O2.raw","1/11/2021 7:43:59 AM","31","","YS0500304","","Yuning",0.282,42674.46044,0.376,60963.36839,0.347,55409.16012,0.422,63517.04956,0.551,32496.54433,0,0,0,0,0.350,96267.63609,0.425,131865.87375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P2","P2.raw","1/11/2021 7:45:47 AM","32","","YS0500304","","Yuning",0.283,42051.99417,0.376,67087.37715,0.346,49558.87011,0.423,41774.86381,0.476,3254.57617,0.484,4698.60155,0.552,36315.29201,0.350,85823.06445,0.425,92612.53709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3","A3.raw","1/11/2021 7:47:35 AM","33","","YS0500304","","Yuning",0.282,40602.90332,0.474,21444.89586,0.347,77517.57037,0.423,183193.08424,0.514,16907.71571,0.525,10818.05139,0.551,64935.57051,0.350,115024.93800,0.427,381255.09499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3","B3.raw","1/11/2021 7:49:23 AM","34","","YS0500304","","Yuning",0.282,58634.27630,0.329,57812.82238,0.347,114566.56016,0.423,105415.23659,0.370,39447.71507,0.474,11621.04014,0.510,107461.11267,0.350,156224.75111,0.427,239354.32022,0.532,14601.66278,0.551,30184.55896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3","C3.raw","1/11/2021 7:51:11 AM","35","","YS0500304","","Yuning",0.282,55143.74302,0.396,24337.44857,0.347,104330.03547,0.422,265561.62030,0.474,26403.69168,0.498,23478.00267,0.551,138760.27357,0.350,153756.36420,0.425,523939.33981,0.735,48251.37145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D3","D3.raw","1/11/2021 7:52:59 AM","36","","YS0500304","","Yuning",0.283,47690.77905,0.368,18575.39900,0.347,137896.57401,0.423,74874.37009,0.467,141462.89706,0.487,43900.76393,0.516,21926.72366,0.350,197981.07443,0.427,56710.29584,0.537,21722.00363,0.551,34200.25901,0.566,55510.47357,0,0,0,0,0,0,0,0,0,0,0,0,0.585,27041.83593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E3","E3.raw","1/11/2021 7:54:47 AM","37","","YS0500304","","Yuning",0.282,56604.12227,0.376,16597.32857,0.347,135806.29053,0.422,383504.54934,0.485,14146.68808,0.554,82022.77936,0.586,30641.90114,0.350,217320.54878,0.425,681685.14084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F3","F3.raw","1/11/2021 7:56:35 AM","38","","YS0500304","","Yuning",0.282,77223.80804,0.374,9698.64020,0.346,128704.62685,0.423,352332.64433,0.485,25551.82434,0.552,97309.92755,0,0,0.350,223141.71326,0.427,665048.02782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G3","G3.raw","1/11/2021 7:58:23 AM","39","","YS0500304","","Yuning",0.281,56192.15637,0.328,32396.87010,0.348,213392.71873,0.423,236372.55893,0.369,62784.37327,0.471,13300.65025,0.485,12160.90013,0.350,219319.22540,0.425,428530.58071,0.514,12602.73577,0.533,22716.57245,0.552,175154.91895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3","H3.raw","1/11/2021 8:00:11 AM","40","","YS0500304","","Yuning",0.282,47989.28200,0.467,26004.61795,0.347,161290.69947,0.423,256432.60337,0.529,10083.05941,0.553,185086.08040,0,0,0.350,243612.43770,0.427,379952.57116,0,0,0,0,0,0,0,0,0.490,60670.04910,0.493,401614.20824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I3","I3.raw","1/11/2021 8:01:59 AM","41","","YS0500304","","Yuning",0.283,82369.89983,0.328,50484.41411,0.346,162743.76775,0.424,181377.63684,0.368,41612.16346,0.381,15599.00814,0.489,26520.63639,0.350,227270.62181,0.425,351386.44359,0.516,10625.71292,0.533,22227.61772,0.553,162450.87453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J3","J3.raw","1/11/2021 8:03:47 AM","42","","YS0500304","","Yuning",0.282,58228.44861,0.470,13411.56169,0.346,164045.40742,0.422,440513.54561,0.484,11419.15503,0.553,187138.57700,0,0,0.352,236774.65202,0.427,781689.04720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K3","K3.raw","1/11/2021 8:05:35 AM","43","","YS0500304","","Yuning",0.283,62664.82983,0.374,19328.43406,0.346,147612.94189,0.423,350746.36263,0.486,29688.21948,0.553,208094.42010,0,0,0.350,234304.86878,0.427,677123.45793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3","L3.raw","1/11/2021 8:07:24 AM","44","","YS0500304","","Yuning",0.283,50596.99754,0.375,20277.22902,0.347,157641.75133,0.422,450939.25113,0.491,124746.99305,0.552,74542.70318,0,0,0.350,240806.94025,0.425,769923.11129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3","M3.raw","1/11/2021 8:09:11 AM","45","","YS0500304","","Yuning",0.283,52135.14526,0.376,13608.91402,0.347,160483.04757,0.422,472355.12810,0.475,45445.95511,0.514,65031.43127,0.552,74315.49138,0.350,249232.55593,0.425,816852.10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N3","N3.raw","1/11/2021 8:11:00 AM","46","","YS0500304","","Yuning",0.282,48508.58596,0.328,21312.70832,0.346,148923.99775,0.422,401910.97293,0.379,42488.67783,0.474,23398.89155,0.527,67792.93341,0.350,239899.15565,0.425,676086.20053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O3","O3.raw","1/11/2021 8:12:48 AM","47","","YS0500304","","Yuning",0.281,40865.21144,0.473,65672.70231,0.347,103382.69225,0.422,217846.83242,0.536,7669.37788,0.552,25223.76144,0.573,14493.74823,0.350,167611.07347,0.425,480044.14524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P3","P3.raw","1/11/2021 8:14:36 AM","48","","YS0500304","","Yuning",0.284,44488.05239,0.478,20260.26546,0.348,121066.60549,0.423,379545.91582,0.553,70079.98511,0,0,0,0,0.350,195085.62096,0.425,725020.80389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4","A4.raw","1/11/2021 8:16:24 AM","49","","YS0500304","","Yuning",0.282,47494.50437,0.328,28577.09031,0.347,76560.66128,0.422,125694.49822,0.380,13841.09743,0.489,67371.78765,0.524,25212.78336,0.350,115000.72172,0.425,280356.16933,0.567,22114.49662,0.582,43462.84647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4","B4.raw","1/11/2021 8:18:12 AM","50","","YS0500304","","Yuning",0.282,112670.56174,0.329,49040.77304,0.347,89512.38818,0.423,110732.95610,0.380,38819.70792,0.474,5964.59063,0.491,10799.89170,0.350,131406.04466,0.427,261076.36127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4","C4.raw","1/11/2021 8:20:00 AM","51","","YS0500304","","Yuning",0.283,49686.97001,0.381,18528.62851,0.346,51136.04390,0.422,139263.24866,0.395,15545.44362,0.489,12113.69293,0.526,15556.40427,0.350,93270.12325,0.425,323153.08607,0.542,44943.77814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D4","D4.raw","1/11/2021 8:21:48 AM","52","","YS0500304","","Yuning",0.283,62877.48281,0.329,12863.34719,0.346,135996.72539,0.422,108929.61898,0.378,37113.63778,0.469,56360.04054,0.492,19706.27159,0.350,229571.67916,0.427,173425.84736,0.521,25595.85397,0.549,20151.97213,0.567,7624.72496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
